央视频道,#genre#
安徽卫视,http://1.69.68.149:9902/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
少儿卫视,http://113.64.94.171:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&down=1
少儿卫视,http://113.64.94.203:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&down=1
山东卫视,http://1.192.248.15:9901/tsfile/live/1080_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://1.69.68.221:9902/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://1.69.74.111:9902/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://118.248.168.52:8088/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://121.19.134.125:808/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://1.69.74.111:9902/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://1.69.2.100:9902/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://1.69.68.57:9902/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://1.69.68.221:9902/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://1.69.67.168:9902/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://1.69.67.148:9902/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://1.69.68.221:9902/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://1.69.74.111:9902/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://1.69.64.175:9902/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://36.44.157.86:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://1.192.248.15:9901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://1.198.67.187:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://1.192.12.41:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://123.182.212.130:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://171.8.138.229:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://1.192.248.15:9901/tsfile/live/1103_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://1.69.5.50:9902/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://1.69.64.91:9902/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://1.192.12.41:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://1.198.67.187:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://113.64.94.167:9901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://124.205.11.197:81/live/LYWS-1500k/live.m3u8
旅游卫视,http://36.99.206.170:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
